id,shopname,company,affili,ranking,recommend,recommend2,recommend3,shoptype,treattype,body,machine,campaign,price1,price2,price3,pic1,pic2,pic3,pic4,pic5
1,ミュゼプラチナム,株式会社ミュゼプラチナム,https://track.affiliate-b.com/visit.php?guid=ON&a=M55347-h261040n&p=U445860X,5,ミュゼは美容脱毛専門サロン店舗数・売上、美容脱毛サロン顧客満足度でNo.1を獲得。安心・便利・通いやすいサービスで、お客さまに選ばれています。,"<h2>ミュゼの脱毛方法</h2>
<p>お肌への影響や、施術中の痛みが心配な方も、ミュゼなら安心です。<br>
ミュゼの脱毛には、お肌に優しく、痛みが殆ど無い先進の「S.S.C.方式」を採用しています。</p>
<h2>お肌にやさしい「S.S.C.方式」の美容脱毛とは？</h2>
<p>ミュゼの美容脱毛は、ジェルの上からライトを当てて脱毛する、S.S.C.方式(Smooth Skin Control方式)の美容脱毛です。<br>
安定したライトと、ジェルに含まれる成分によって肌を痛めることなくスピーディにお手入れをすることが可能です。<br>
トリートメントにはミュゼ独自開発の、プラセンタエキス配合のミルクローションを使用していますので、美肌効果も期待できます。<br>
</p>
<img src='http://xn--icts88aua482r51bu28a.net/wp-content/uploads/2016/04/musee-contents1.gif' /><br>
<h2>毛周期に合わせたお手入れをおすすめします。</h2>
<p>どんな脱毛方法でも、1回の脱毛だけでムダ毛が完全になくなることはありません。<br>
それは、生えては抜けてを繰り返す毛周期があるからです。ミュゼでは、この毛周期に合わせたお手入れで、効率よくムダ毛を無くす事ができます。<br>
個人差はありますが、約2～3ヶ月に一度のお手入れを繰返し、5～6回程度の来店で、次第に毛が細くなって目立たなくなります。<br>
</p>
<img src='http://xn--icts88aua482r51bu28a.net/wp-content/uploads/2016/04/musee-contents2.gif'/>","",エステサロン,S.S.C.方式(スムーススキンコントロール方式),全身,確認中,"Enjoy, Girlsキャンペーン","全身脱毛が月額7,000円(税込)から","全身脱毛が月額7,000円(税込)から","全身脱毛が月額7,000円(税込)から",http://musee-pla.com/lp/mo/lpBg/img/top_bg_b.jpg,"","","",""
2,銀座カラー,株式会社エム・シーネットワークスジャパン,https://track.affiliate-b.com/visit.php?guid=ON&a=i2595j-d95060z&p=U445860X,5,銀座カラーではIPL脱毛という、光のエネルギーがムダ毛に直接作用する脱毛方法を採用しています。さらに、オリジナル保湿ケア『美肌潤美』（オプション）を施術後におこなっております。美肌効果と脱毛効果を同時に高め、格段に違う効果を実感していただけます。,"<p>『一生モノのキレイな肌になりたい』<br>
そんな美肌づくりにこだわるあなたと、私たち銀座カラーのこだわりは一緒です。<br>
ダイヤモンドのように輝きを失わない美肌をあなたと目指すために、銀座カラーは、技術にも、スキンケアにも、とことんこだわり続けていきます。</p>
<a href='https://track.affiliate-b.com/visit.php?guid=ON&a=i2595j-o125217d&p=U445860X'><img src='https://www.affiliate-b.com/upload_image/2595-r52592Q-3.gif' /></a>
<h2>銀座カラーの強み</h2>
<ul>
<li><spa>1年間で最大8回のスピード脱毛</span><br>
全身脱毛を行うのに他のサロンでは通常2年で8回ですが、銀座カラーなら1年で8回施術可能。
</li>
<li><span>全身脱毛1回の施術が約60分で完了</span><br>
全身脱毛を何日かに分けて行うサロンが多い中、銀座カラーは施術が約60分で完了します！<br>※施術時間は、個人差がございます。</li>
<li><span>美肌ミストマシンでお肌もぷるぷる</span><br>
お肌のことを真剣に考えてオリジナル美肌ミストマシンを開発。ムダ毛の処理だけではなく、肌のことにも真剣に取り組んでいます。<br>※別途ご契約が必要です。</li>
<li><span>通っていただいている間の自己処理ほぼナシ</span><br>
最短1ヶ月に1回通うことができるので、脱毛の効果が出て、ムダ毛が生えてきた頃にまた施術ができます。自己処理をする手間とお肌への負担がなくなります。<br>
※効果の低下や肌トラブルを避けるため、施術前日には必ず自己処理をお願いしております。</li>
<li><span>施術時もほとんど痛くない</span><br>
光脱毛は、もともと痛みが少なく、輪ゴムをはじいたようなパチンというような痛みでしたが、新・全身脱毛なら暖かい光を当てているような感覚です。<br>
※個人差がございます。</li>
<li><span>ほくろ・しみも施術可能</span><br>
最新の脱毛機を導入したことで、今までは施術ができなかった、ほくろやしみも施術が可能になりました。<br>
※色・大きさ・濃さによって異なります。</li>
<li><span>美容ハーブティーで内側からキレイをサポート</span><br>
人気の美容素材を配合しているハーブティーを、毎回の施術後にご提供しております。内側からのキレイもサポートして潤いのあるお肌を目指しています。</li>
</ul>","",エステサロン,IPL脱毛(光脱毛),全身,確認中,プレミアムファストパス:新全身脱毛「初月+2ヶ月目分0円」,"全身脱毛が月額7,000円(税込)から","全身脱毛が月額7,000円(税込)から","全身脱毛が月額7,000円(税込)から",http://musee-pla.com/lp/mo/lpBg/img/top_bg_b.jpg,"","","",""
3,脱毛ラボ,株式会社セドナエンタープライズ,https://track.affiliate-b.com/visit.php?guid=ON&a=44395S-u2567941&p=U445860X,5,脱毛ラボでは、「S.S.C.脱毛」を採用！ 従来のキセノンライトによる脱毛とは異なる「クリプトンライト」によるS.S.C脱毛だから、お肌に直接的なダメージを与えません！さらに専用ジェルに含まれるフィリニーブ成分がお肌に浸透します。,"<img src='http://xn--icts88aua482r51bu28a.net/wp-content/uploads/2016/04/salon_price.jpg'  />
<img src='http://xn--icts88aua482r51bu28a.net/wp-content/uploads/2016/04/shop_proud_0511.jpg' />","",エステサロン,S.S.C.方式(スムーススキンコントロール方式),全身,M.S.F.T.クリプトン、P.Sクリプトン、クリプトンSEV,"月額制全身脱毛プラン 3,980円/月額 が4ヶ月無料！","全身脱毛が月額7,000円(税込)から","全身脱毛が月額7,000円(税込)から","全身脱毛が月額7,000円(税込)から",http://musee-pla.com/lp/mo/lpBg/img/top_bg_b.jpg,"","","",""
4,シースリー,株式会社ビューティースリー,http://c-3-esthe.com/lp002/?f=4,5,シースリーでは日本人女性のために開発された最新の超光速脱毛機C3 GTRで全身最短45分！脱毛完了まで期限切れなしの脱毛品質保証。納得いくまで何度でも利用できます！,"<p>全身脱毛定額制フラットシースリーで、やりたかった全身脱毛が月額9000円でできる、業界最安値の料金設定が人気のサロンです。<br>
こだわりの内装でお客様をおもてなし。日常から離れた完全プライベート空間でリラックスサロンタイムを!!</p>
<h2>シースリーが掲げる7つの約束</h2>
<ul>
<li>1. 脱毛品質保証書を発行します。</li>
<li>2. 他社と比較しても断然お得！圧倒的なコストパフォーマンスをお約束します。</li>
<li>3. 定額で、全身53部位の施術が可能。</li>
<li>4. 日本人女性のために開発されたスーパー脱毛器「ルネッサンス」で驚きのスピードと効果を実感して頂きます。</li>
<li>5. 接客・脱毛技術における50項目の厳しい試験をクリアしたスタッフのみがお客様のご対応をさせて頂きます。</li>
<li>6. 全店・どの店舗にも24時間ネット予約が可能です。</li>
<li>7. 女性専用のこだわりのリッチ・おしゃれな内装で、リラックスサロンタイムをご満喫頂けます。</li>
</ul>
<img src='http://xn--icts88aua482r51bu28a.net/wp-content/uploads/2016/04/ccc-contents1.png'  />
<img src='http://xn--icts88aua482r51bu28a.net/wp-content/uploads/2016/04/ccc-contents2.png' />
<img src='http://xn--icts88aua482r51bu28a.net/wp-content/uploads/2016/04/ccc-contents3.png'  /><br>","",エステサロン,光脱毛,全身,C3 GTR,"全身永久保障プラン月額7,500円が最大2か月0円","全身脱毛が月額7,000円(税込)から","全身脱毛が月額7,000円(税込)から","全身脱毛が月額7,000円(税込)から",http://musee-pla.com/lp/mo/lpBg/img/top_bg_b.jpg,"","","",""
5,エターナルラビリンス,株式会社グロワール・ブリエ東京,https://track.affiliate-b.com/visit.php?guid=ON&a=S4952T-O264304o&p=U445860X,5,"設立10年を超え、あの有名人も絶賛する全身脱毛サロン。エタラビ。
 TVでもお馴染みの脱毛サロンとして口コミを含めた会員は10万人を突破。
 他サロンとの大きな違いは「お客様とのコミュニケーション」を一番大切に考えていることです。
 無料カウンセリングから始まり、脱毛の正しい知識をお伝えしながらご納得のうえ施術に入ります。結果としてリピーター率は80%を超えお客様の満足度も高いものとなります。
 創業以来最も力を入れている『全身脱毛』などお客様のニーズに応じたコースを取りそろえています。輝かしい女性の価値を作る「愛され美肌脱毛」を目指しています。","","",エステサロン,美容ライト脱毛,全身,純国産美容脱毛機PLASMA More,"真360°脱毛 全身全部位を360°脱毛。通常月額9,500円が今なら初月から3か月分が0円","全身脱毛が月額7,000円(税込)から","全身脱毛が月額7,000円(税込)から","全身脱毛が月額7,000円(税込)から",http://musee-pla.com/lp/mo/lpBg/img/top_bg_b.jpg,"","","",""
6,キレイモ,株式会社ヴィエリス,https://track.affiliate-b.com/visit.php?guid=ON&a=N6315q-A250652A&p=U445860X,4,全身脱毛サロンキレイモは、業界口コミNO.01！だからタレントさんや読者モデルのみなさんに多数ご来店いただいております。ご来店の様子は随時、キレイモ公式twitterでも発信していますので、是非ご覧になってください。,"","",エステサロン,S.S.C.方式(スムーススキンコントロール方式),全身,確認中,全身脱毛33カ所が通常9500円のところが、初月0円（税込）,"全身脱毛が月額7,000円(税込)から","全身脱毛が月額7,000円(税込)から","全身脱毛が月額7,000円(税込)から",http://musee-pla.com/lp/mo/lpBg/img/top_bg_b.jpg,"","","",""
7,エステティックTBC,TBCグループ株式会社,https://track.affiliate-b.com/visit.php?guid=ON&a=N6315q-A250652A&p=U445860X,4,1本1本確実に処理していく「TBCスーパー脱毛」。広範囲を一気に処理する「TBCライト脱毛」。その2つのメリットを組み合わせた「TBCスーパー＆ライト脱毛」をご用意。あなたにぴったりの脱毛方法が見つかります。,"","",エステサロン,美容電気脱毛、美容ライト脱毛,全身,情報なし,両ワキ脱毛。スーパー＆ライト１回体験プランが初めて割価格の600円(税込),"全身脱毛が月額7,000円(税込)から","全身脱毛が月額7,000円(税込)から","全身脱毛が月額7,000円(税込)から",http://musee-pla.com/lp/mo/lpBg/img/top_bg_b.jpg,"","","",""
8,ラ・ヴォーグ,株式会社ダイシン,https://track.affiliate-b.com/visit.php?guid=ON&a=a6684E-Z243974d&p=U445860X,4,ラ・ヴォーグの脱毛は、脱毛の効果だけではなく脱毛しながらお肌のコラーゲンを再生し、美肌に導く、コラーゲン美肌脱毛を採用しています。低価格で提供できる理由は、「最新の脱毛器の代理店をしていることで、大変高価なランニングコストを抑えることが可能になったこと」や、「最新の技術を使用することで、施術時間がスピードアップし、短時間で多くのお客様を施術出来るようになったこと」です。,"","",エステサロン,光脱毛,全身,最新で安全で効果の高い純国産脱毛器・ＬＶＳ（エルブイエス）,"顔・VIOを含む全身脱毛55部位。月額3,200円が今なら4か月間0円。","全身脱毛が月額7,000円(税込)から","全身脱毛が月額7,000円(税込)から","全身脱毛が月額7,000円(税込)から",http://musee-pla.com/lp/mo/lpBg/img/top_bg_b.jpg,"","","",""
9,エピレ,株式会社シュプレイムルミナス,https://track.affiliate-b.com/visit.php?guid=ON&a=L4711u-2220810F&p=U445860X,4,"TBCがプロデュースする，お客様の声から生まれた脱毛専門サロン「エピレ」。Ｓパーツはもちもん，下記Ｌパーツも2,400円で体験が可能！
 エピレ店舗だけでなく全国４７都道府県のエステティックＴＢＣでも施術可能です！","","",エステサロン,光脱毛,全身,フェリークFv4,ハッピーつるスベキャンペーン。両ワキ+Vライン脱毛6回 通常販売価格 28512円がなんと700円(97%OFF),"全身脱毛が月額7,000円(税込)から","全身脱毛が月額7,000円(税込)から","全身脱毛が月額7,000円(税込)から",http://musee-pla.com/lp/mo/lpBg/img/top_bg_b.jpg,"","","",""
10,ラットタット,ミスプレミアム株式会社,https://track.affiliate-b.com/visit.php?guid=ON&a=V7221w-B239472x&p=U445860X,3,"2015年5月に新規オープンの女性専用の脱毛サロンです。
 月額6,800円で50部位が脱毛できる！
 10年以上のキャリアを持つ脱毛のプロもたくさんおります。技術力に自信があります！高級ホテル品質のタオル類を1回使うごとにプロのクリーニングにお願いしています。施術前後に使用する保湿ローションは医療機関と一緒に開発した独自のもの。
 これまでにない脱毛＆美肌効果を体感ください。","","",エステサロン,確認中,全身,確認中,"全身50部位を安心の月額制で完全脱毛。通常価格6,500円が今なら初月から2か月分0円。","全身脱毛が月額7,000円(税込)から","全身脱毛が月額7,000円(税込)から","全身脱毛が月額7,000円(税込)から",http://musee-pla.com/lp/mo/lpBg/img/top_bg_b.jpg,"","","",""
